Country,Last,Previous,Reference,Unit
Macedonia,50,51,Dec/23,%
Madagascar,40.4,37.3,Dec/23,%
Malawi,81.3,68.7,Dec/23,%
Malaysia,69.8,61.1,Dec/23,%
Maldives,54.2,58.9,Dec/23,%
Malta,47.4,49.4,Dec/23,%
Mauritania,42.5,43.8,Dec/23,%
Mauritius,78.6,81.8,Dec/23,%
Mexico,49.7,53.1,Dec/24,%
Moldova,34.6,34.5,Dec/23,%
Mongolia,40,48,Dec/23,%
Montenegro,60.3,70.8,Dec/23,%
Morocco,69.7,71.6,Dec/23,%
Mozambique,93.9,101,Dec/23,%
Myanmar,59.6,62.5,Dec/23,%
Namibia,65.3,63.9,Dec/24,%
Nepal,42.7,40.7,Dec/23,%
Netherlands,46.8,50.1,Dec/23,%
New Zealand,39.3,35.4,Dec/23,%
Nicaragua,41.7,44.6,Dec/23,%
Niger,50,51.2,Dec/23,%
Nigeria,38.8,38,Dec/23,%
Norway,44.3,36.5,Dec/23,%
Oman,36.5,40.9,Dec/23,%
Pakistan,91,89,Dec/23,%
Palestine,21.7,18.5,Dec/23,%
Panama,52.39,53.68,Dec/23,%
Papua New Guinea,52,49.8,Dec/23,%
Paraguay,41.2,40.5,Dec/23,%
Peru,33,34,Dec/23,%
Philippines,60.1,60.9,Dec/23,%
Poland,55.3,49.5,Dec/24,%
Portugal,99.1,112,Dec/23,%
Qatar,43.3,42.6,Dec/23,%
Republic of the Congo,96.46,99.57,Dec/23,%
Romania,48.8,47.5,Dec/23,%
Russia,14.9,16,Dec/23,%
Rwanda,62.1,61.1,Dec/23,%
Sao Tome and Principe,103,105,Jun/23,%
Saudi Arabia,26.3,23.8,Dec/23,%
Senegal,56.1,53.9,Dec/23,%
Serbia,52,55.1,Dec/23,%
Seychelles,60,69,Dec/23,%
Sierra Leone,88.9,95.8,Dec/23,%
Singapore,171,157,Dec/23,%
Slovakia,56.1,57.7,Dec/23,%
Slovenia,69.2,72.5,Dec/23,%
South Africa,72.2,72.8,Dec/23,%
South Korea,51.5,49.8,Dec/23,%
Spain,102,105,Dec/24,%
Sri Lanka,104,114,Dec/23,%
Sudan,256,186,Dec/23,%
Suriname,90.3,117,Dec/23,%
Swaziland,18.91,19.06,Dec/23,%
Sweden,31.5,33.6,Dec/23,%
Switzerland,37.9,38.8,Dec/24,%
Tajikistan,30.9,34.6,Dec/23,%
Tanzania,46.9,44.9,Dec/23,%
Thailand,61.9,60.9,Dec/23,%
Togo,25.7,25.4,Dec/23,%
Trinidad and Tobago,56.1,50.7,Dec/23,%
Tunisia,76.7,79.4,Dec/23,%
Turkey,29.5,30.8,Dec/23,%
Turkmenistan,4.7,8,Dec/23,%
Uganda,48.6,45.5,Dec/22,%
Ukraine,84.4,78.4,Dec/23,%
United Arab Emirates,32.4,32,Dec/23,%
United Kingdom,95.3,94.6,Dec/23,%
United States,122,122,Dec/23,%
Uruguay,64.5,60.3,Dec/23,%
Uzbekistan,37.9,36.4,Dec/23,%
Venezuela,146,161,Dec/23,%
Vietnam,33.5,37.1,Dec/23,%
Yemen,66.4,66,Dec/23,%
Zambia,73.4,56.4,Dec/23,%
Zimbabwe,87,92.6,Dec/24,%
