isin,ticker,name,exchange,description
IE000ZXYID24,AEGG.L,"iShares Global Aggregate Bond ESG UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both  capital and income returns, which reflects the return of the Bloomberg Barclays MSCI Global Aggregate  Sustainable and Green Bond SRI Index."
IE0032895942,LQDS.L,"iShares $ Corp Bond UCITS ETF USD (Dist)",London Stock Exchange,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the total return of the Markit iBoxx USD Liquid Investment Grade Index. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that as far as possible and practicable consist of the component securities of the Markit iBoxx USD Liquid Investment Grade Index, this Fund’s Benchmark Index."
IE00B00FV011,SLXX.L,"iShares Core £ Corp Bond UCITS ETF",LSE,"NA"
IE00B04FFJ44,0P00000MNM.F,"Vanguard Euro Investment Grade Bond Index Fund EUR Acc",Frankfurt Stock Exchange,"The Fund seeks to provide returns consistent with the performance of a market-weighted bond index of the euro investment-grade bond market with an intermediate-term weighted average maturity. For its benchmark index, the Fund will use the Barclays Capital Global Aggregate Euro Non-Government Float Adjusted Bond Index."
IE00B04GQR24,0P000019FE.F,"Vanguard Eurozone Inflation-Linked Bond Index Fund EUR Acc",Frankfurt Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Barclay Capital Euro zone Inflation-Linked Bond Index, a market-weighted bond index of inflation-linked government securities within the Euro zone."
IE00B14X4Q57,IBCA.DE,"iShares € Govt Bond 1-3yr UCITS ETF EUR (Dist)",Deutsche Börse,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return on EMU government bonds. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that as far as possible and practicable consist of the component securities of the Bloomberg Barclays Euro Government Bond 1-3 Year Term Index, this Fund’s Benchmark Index. The Fund intends to use optimisation techniques in order to achieve a similar return to the Benchmark Index and it is therefore not expected that the Fund will hold each and every underlying constituent of the Benchmark Index at all times or hold them in the same proportion as their weightings in the Benchmark Index."
IE00B14X4S71,IUSU.DE,"iShares $ Treasury Bond 1-3yr UCITS ETF USD (Dist)",Deutsche Börse,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury 1-3 Year Bond Index. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that as far as possible and practicable consist of the component securities of the ICE U.S. Treasury 1-3 Year Bond Index, this Fund’s Benchmark Index. The Fund intends to use optimisation techniques in order to achieve a similar return to the Benchmark Index and it is therefore not expected that the Fund will hold each and every underlying constituent of the Benchmark Index at all times or hold them in the same proportion as their weightings in the Benchmark Index."
IE00B18GC888,0P00012I69.F,"Vanguard Global Bond Index Fund EUR Hedged Acc",Frankfurt Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00B1FZS681,IBCN.DE,"iShares € Govt Bond 3-5yr UCITS ETF",Deutsche Börse,"NA"
IE00B1FZS798,IBTM.L,"iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist)",London Stock Exchange,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury 7-10 Year Bond Index. In order to achieve its investment objective, the investment policy of this Fund is to invest in a portfolio of bonds that so far as possible and practicable consists of the component securities of the ICE U.S. Treasury 7-10 Year Bond Index, this Fund’s Benchmark Index."
IE00B1FZS913,IBGL.L,"iShares € Govt Bond 15-30yr UCITS ETF",LSE,"NA"
IE00B1S74W91,0P00009WXM.L,"Vanguard U.K. Investment Grade Bond Index Fund GBP Dist",London Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate U.K. Non-Government Bond Index, a market-weighted bond index of the pound sterling, investment-grade bond market, excluding government bonds with an intermediate-term weighted average maturity. The Fund employs a ""passive management"" or indexing strategy designed to track the performance of the Index. This market-weighted index is designed to reflect the total universe of the pound sterling denominated investment-grade fixed-income securities excluding government and government related-securities. All issues have a maturity of greater than one year."
IE00B2NPKV68,IUS7.DE,"iShares J.P. Morgan $ EM Bond UCITS ETF USD (Dist)",XETRA,"The fund is an exchange traded fund (ETF) that aims to track the performance of the JP Morgan Emerging Markets Bond Index Global Core Index as closely as possible. The ETF invests in physical index securities. The JP Morgan Emerging Markets Bond Index Global Core Index offers exposure to US Dollar denominated sovereign and quasi-sovereign bonds from Emerging Markets countries. Only bonds with a minimum remaining time to maturity of two and a half years at inclusion and a minimum amount outstanding of $500 million are included in the index. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes."
IE00B2RHVP93,0P0000KM23.L,"Vanguard Global Bond Index Fund GBP Hedged Dist",London Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00B2RHVR18,0P0000IWBZ.SW,"Vanguard Global Bond Index Fund CHF Hedged Acc",SIX,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00B3B8PX14,IGIL.L,"iShares Global Inflation Linked Govt Bond UCITS ETF USD (Acc)",LSE,"The fund is an exchange traded fund (ETF) that aims to track the performance of the Barclays World Government Inflation-Linked Bond Index as closely as possible. The ETF invests in physical index securities. The Barclays World Government Inflation-Linked Bond Index offers exposure to developed world government inflation-linked bonds issued in the domestic currency of each included country. Only capital-indexed bonds, linked to an eligible inflation index, with a minimum remaining time to maturity of one year are included in the index. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes."
IE00B3B8Q275,IUS6.DE,"iShares € Covered Bond UCITS ETF",Deutsche Börse,"NA"
IE00B3F81K65,EUN3.DE,"iShares Global Govt Bond UCITS ETF USD (Dist)",Deutsche Börse,"The fund is an exchange traded fund (ETF) that aims to track the performance of the Citigroup Group-of-Seven (G7) Index as closely as possible. The ETF invests in physical index securities. The Citigroup Group-of-Seven (G7) Index offers exposure to government bonds from G7 countries: Canada, France, Germany, Italy, Japan, United Kingdom and United States. Only investment grade bonds with a minimum remaining time to maturity of one year are included in the index. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes."
IE00B3F81R35,EUN5.DE,"iShares Core € Corp Bond UCITS ETF EUR (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Euro Corporate Bond Index. In order to achieve this investment objective, the investment policy of this Fund is to invest in a portfolio of fixed income securities that as far as possible and practicable consists of the component securities of the Bloomberg Barclays Euro Corporate Bond Index, this Fund’s Benchmark Index."
IE00B3FH7618,EUN6.DE,"iShares € Govt Bond 0-1yr UCITS ETF",Deutsche Börse,"NA"
IE00B3S5XW04,SYBB.DE,"SPDR Bloomberg Euro Government Bond UCITS ETF Acc",Deutsche Börse,"NA"
IE00B3T9LM79,EUCO.PA,"SPDR Bloomberg Euro Corporate Bond UCITS ETF",EURONEXT,"NA"
IE00B3VTMJ91,CBE3.L,"iShares VII PLC - iShares € Govt Bond 1-3yr UCITS ETF EUR (Acc)",LSE,"NA"
IE00B3VTML14,SXRP.DE,"iShares VII PLC - iShares € Govt Bond 3-7yr UCITS ETF EUR (Acc)",Deutsche Börse,"NA"
IE00B3VTN290,CE01.L,"iShares VII PLC - iShares € Govt Bond 7-10yr UCITS ETF EUR (Acc)",London Stock Exchange,"NA"
IE00B3VWN179,CBU3.L,"iShares VII PLC - iShares $ Treasury Bond 1-3yr UCITS ETF USD (Acc)",London Stock Exchange,"NA"
IE00B3VWN393,SXRL.DE,"iShares $ Treasury Bond 3-7yr UCITS ETF USD (Acc)",XETRA,"The investment objective of the Fund is to replicate the performance of the Benchmark Index (being the ICE U.S. Treasury 3-7 Year Bond Index), less the fees and expenses of the Fund.In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that, as far as possible and practicable, consists of the component securities of the ICE U.S. Treasury 3-7 Year Bond Index, this Fund’s Benchmark Index."
IE00B3VWN518,SXRM.DE,"iShares VII PLC - iShares $ Treasury Bond 7-10yr UCITS ETF USD (Acc)",XETRA,"The investment objective of the Fund is to replicate the performance of the Benchmark Index (being the ICE U.S. Treasury 7-10 Year Bond Index), less the fees and expenses of the Fund."
IE00B41RYL63,SYBA.DE,"SPDR Bloomberg Euro Aggregate Bond UCITS ETF",Deutsche Börse,"NA"
IE00B428Z604,IS0P.DE,"iShares V PLC - iShares Spain Govt Bond UCITS ETF EUR (Dist)",Deutsche Börse,"NA"
IE00B43QJJ40,SYBZ.DE,"SPDR Bloomberg Global Aggregate Bond USD Hdg UCITS ETF Acc",Deutsche Börse,"NA"
IE00B44CGS96,IUAG.L,"iShares US Aggregate Bond UCITS ETF USD (Dist)",London Stock Exchange,"The fund is an exchange traded fund (ETF) that aims to track the performance of the Barclays US Aggregate Bond Index as closely as possible. The ETF invests in physical index securities. The Barclays US Aggregate Bond Index offers exposure to USD denominated investment grade fixed rate bonds including Treasuries, government-related, securitised and corporate securities. Only bonds with a minimum remaining time to maturity of one year are considered for inclusion in the index. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes."
IE00B459R192,SYBU.DE,"SPDR Bloomberg U.S. Aggregate Bond UCITS ETF",Deutsche Börse,"NA"
IE00B4613386,SYBM.DE,"SPDR Bloomberg Barclays Emerging Markets Local Bond UCITS ETF (Dist)",Deutsche Börse,"The fund seeks to replicate, before expenses, the performance of the liquid local currency emerging markets debt market. It aims to do this by tracking the Barclays Capital Emerging Markets Local Currency Liquid Government Index as closely as possible. The index is a country-constrained index designed to provide a broad measure of the performance of liquid local currency emerging markets debt. It limits country exposure to a maximum of 10% and redistributes the excess market value index-wide on a pro-rata basis. To be included in the index, securities must have an amount outstanding of at least US$1 billion equivalent."
IE00B4694Z11,SYBS.DE,"SPDR Bloomberg Sterling Corporate Bond UCITS ETF",Deutsche Börse,"NA"
IE00B4L5ZY03,EUNS.DE,"iShares € Corp Bond ex-Financials 1-5yr ESG UCITS ETF EUR (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital  and income returns, which reflects the return of the Bloomberg Barclays Euro Corporate 1-5 Year Bond Index."
IE00B4L60045,EUNT.DE,"iShares € Corp Bond 1-5yr UCITS ETF EUR (Dist)",XETRA,"The Fund seeks to track the performance of an index composed of Euro denominated investment grade corporate bonds."
IE00B4L60H17,SSXF.L,"iShares £ Corp Bond ex-Financials UCITS ETF GBP (Dist)",London Stock Exchange,"In order to achieve this investment objective, the investment policy of this Fund is to invest in a portfolio of fixed  income debt securities that as far as possible and practicable consists of the component securities of the Markit  iBoxx GBP Non-Financials Index, this Funds Benchmark Index"
IE00B4P11460,EMLP.L,"PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF",London Stock Exchange,"NA"
IE00B4PY7Y77,SHYU.L,"iShares $ High Yield Corp Bond UCITS ETF USD (Dist)",LSE,"The fund is an exchange traded fund (ETF) that aims to track the performance of the Markit iBoxx USD Liquid High Yield Capped Index as closely as possible. The ETF invests in physical index securities. The Markit iBoxx USD Liquid High Yield Capped Index consists of the most liquid US Dollar denominated corporate bonds with a sub-investment grade rating, while maintaining a focus on UCITs eligibility. The maximum original time to maturity is 15 years and the minimum time to maturity is three and a half years for new bonds to be included and three years for bonds that already exist in the index. For diversification purposes the weight of each issuer in the index is capped at 3%. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes."
IE00B5M4WH52,IUSP.DE,"iShares J.P. Morgan EM Local Govt Bond UCITS ETF",XETRA,"NA"
IE00B5V94313,SDEU.L,"iShares V PLC - iShares Germany Govt Bond UCITS ETF EUR (Dist)",London Stock Exchange,"NA"
IE00B6QGFW01,SGEA.L,"iShares Emerging Asia Local Govt Bond UCITS ETF USD (Dist)",LSE,"The fund is an Exchange Traded Fund (ETF) that aims to track the performance of the Barclays Emerging Markets Asia Local Currency Govt Country Capped Index. The ETF invests in physical index securities. The Barclays Emerging Markets Asia Local Currency Govt Country Capped Index provides a broad measure of the performance of local currency government debt issued by emerging market countries in Asia. Currently, five countries are included in the index: Indonesia, Malaysia, Philippines, South Korea and Thailand. The list of eligible countries is reviewed on a periodic basis depending on liquidity, capital control and overall accessibility. Country weights are capped at 40% of the index to ensure diversification within the index and countries which are not member states of the European Union, members of the Organisation for Economic Co-operation and Development or approved by the Central Bank of Ireland are capped at 35% of the index."
IE00B6TLBW47,IS0Q.DE,"iShares V PLC - iShares J.P. Morgan $ EM Corp Bond UCITS ETF",XETRA,"NA"
IE00B6X2VY59,IRCP.L,"iShares V PLC - iShares € Corp Bond Interest Rate Hedged ESG UCITS ETF",London Stock Exchange,"NA"
IE00B6YX5F63,SYB3.DE,"SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF",Deutsche Börse,"NA"
IE00B6YX5M31,SYBJ.DE,"SPDR Bloomberg Euro High Yield Bond UCITS ETF",Deutsche Börse,"NA"
IE00B74DQ490,IBC9.DE,"iShares Global High Yield Corp Bond UCITS ETF USD (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx Global Developed Markets Liquid High Yield Capped Index. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that as far as possible and practicable consists of the component securities of the Markit iBoxx Global Developed Markets Liquid High Yield Capped Index, this Fund’s Benchmark Index. The Fund intends to use optimisation techniques in order to achieve a similar return to the Benchmark Index and it is therefore not expected that the Fund will hold each and every underlying constituent of the Benchmark Index at all times or hold them in the same proportion as their weightings in the Benchmark Index"
IE00B7J7TB45,IS0X.DE,"iShares Global Corp Bond UCITS ETF USD (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Corporate Bond Index. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that as far as possible and practicable consist of the component securities of the Bloomberg Barclays Global Aggregate Corporate Bond Index, this Fund’s Benchmark Index. The Fund intends to use optimisation techniques in order to achieve a similar return to the Benchmark Index and it is therefore not expected that the Fund will hold each and every underlying constituent of the Benchmark Index at all times or hold them in the same proportion as their weightings in the Benchmark Index."
IE00B7LGZ558,IFRB.L,"iShares V PLC - iShares France Govt Bond UCITS ETF EUR (Dist)",London Stock Exchange,"NA"
IE00B7N3YW49,STHY.L,"PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF",LSE,"The investment seeks to replicate as closely as possible, before fees and expenses, the performance of the BofA Merrill Lynch 0-5 Year US High Yield Constrained index.  The fund seeks to achieve the yield, volatility level, and low or negative correlations with other asset classes inherent in short maturity high yield."
IE00B87G8S03,SAAA.L,"iShares Global AAA-AA Govt Bond UCITS ETF USD (Dist)",LSE,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Barclays Global Government AAA-AA Capped Bond Index."
IE00B988C465,0Y3O.L,"iShares Global High Yield Corp Bond CHF Hedged UCITS ETF (Dist)",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and  income returns, which reflects the return of the Markit iBoxx Global Developed Markets Liquid High Yield Capped  (CHF Hedged) Index."
IE00B9M04V95,EMBC.SW,"iShares J.P. Morgan $ EM Bond CHF Hedged UCITS ETF (Dist)",Swiss Exchange,"NA"
IE00B9M1BB17,0P0000YX0L.L,"Vanguard U.K. Short-Term Investment Grade Bond Index Fund GBP Acc",LSE,"ACC Binh Duong Investment and Construction Joint Stock Company manufactures and supplies products and materials for the construction of transportation infrastructure, civil and industrial works, and industrial construction applications in Vietnam and internationally. The company provides hot asphalt concrete, cement concrete carpets, road string paints construction services, precast concrete structural products, reinforced concrete culvert products, and prefabricated structures. It is also involved in the production of reinforced concrete pipes; and transportation of raw materials and products, and construction projects. The company was formerly known as Becamex Asphalt & Concrete Joint Stock Company and changed its name to ACC Binh Duong Investment and Construction Joint Stock Company in May 2019. ACC Binh Duong Investment and Construction Joint Stock Company was founded in 2008 and is headquartered in Ben Cát, Vietnam."
IE00B9M6RS56,IS3C.DE,"iShares J.P. Morgan $ EM Bond EUR Hedged UCITS ETF (Dist)",Deutsche Börse,"NA"
IE00B9M6SJ31,IBCQ.DE,"iShares Global Corp Bond EUR Hedged UCITS ETF (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Corporate Index (EUR hedged)"
IE00BC7GZJ81,TRS3.L,"SPDR Bloomberg 1-3 Year U.S. Treasury Bond UCITS ETF",London Stock Exchange,"NA"
IE00BC7GZW19,SYBD.DE,"SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BC7GZX26,SYBF.DE,"SPDR Bloomberg 0-3 Year U.S. Corporate Bond UCITS ETF",XETRA,"NA"
IE00BCBJF711,SYBQ.DE,"SPDR Bloomberg 0-5 Year Sterling Corporate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BCLWRB83,IS3F.DE,"iShares $ Corp Bond Interest Rate Hedged UCITS ETF USD (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx USD Liquid Investment Grade Interest Rate Hedged Index. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that, as far as possible and practicable, consist of the component securities of the Markit iBoxx USD Liquid Investment Grade Index and US treasury bond futures contracts that, as far as possible and practicable, track the hedging methodology of the Markit iBoxx USD Liquid Investment Grade Interest Rate Hedged Index, this Fund’s Benchmark Index. The hedging methodology consists of selling US Treasury bond futures contracts in order to hedge the underlying US treasury bond yield risk."
IE00BCRY5Y77,IS3J.DE,"iShares $ Short Duration Corp Bond UCITS ETF USD (Dist)",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx USD Liquid Investment Grade 0-5 Index. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of fixed income securities that, as far as possible and practicable, consist of the component securities of the Markit iBoxx USD Liquid Investment Grade 0-5 Index, this Fund’s Benchmark Index."
IE00BCRY6003,SDHG.L,"iShares $ Short Duration High Yield Corp Bond UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx USD Liquid High Yield 0-5 Capped Index."
IE00BCRY6227,ERNU.L,"iShares $ Ultrashort Bond UCITS ETF",LSE,"NA"
IE00BCRY6441,ERNS.L,"iShares £ Ultrashort Bond UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital  and income returns, which reflects the return of the Markit iBoxx GBP Liquid Investment Grade Ultrashort Index"
IE00BCRY6557,IS3M.DE,"iShares € Ultrashort Bond UCITS ETF",XETRA,"NA"
IE00BD4DX952,XQUA.DE,"Xtrackers (IE) Plc - Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 1D",Deutsche Börse,"The Fund aims to reflect the performance of the Markit iBoxx USD Emerging Markets Sovereigns Quality Weighted Index (Index). The Index is designed to represent the performance of a range of US dollar (USD) currency denominated tradable debt (bonds) issued by governments or central banks in emerging market countries. Bonds issued by countries with favourable fundamental economic indicators will have higher representation in the Index compared to countries with weaker economic fundamental indicators. Bonds are only eligible for inclusion in the Index if they meet certain pre-determined selection and eligibility criteria. They must have a minimum rating of “B”, when rated by only one rating agency, or a composite rating of “B” when rated by more than one rating agency. In particular, the Index represents bonds which pay either no interest or a pre-determined rate of interest."
IE00BD6D4566,0P0001CGI6.L,"Vanguard U.S. Government Bond Index Fund GBP Dist",London Stock Exchange,
IE00BD8D5H32,EUHI.DE,"PIMCO ETFs plc PIMCO Euro Short-Term High Yield Corporate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BD8PGZ49,DTLE.L,"iShares $ Treasury Bond 20+yr UCITS ETF EUR Hedged (Dist)",LSE,"NA"
IE00BD8PH174,GILE.L,"iShares Global Inflation Linked Govt Bond UCITS ETF EUR Hedged (Dist)",London Stock Exchange,"The fund is an exchange traded fund (ETF) that aims to track the performance of the Barclays World Government Inflation-Linked Bond Index as closely as possible. The ETF invests in physical index securities. The Barclays World Government Inflation-Linked Bond Index offers exposure to developed world government inflation-linked bonds issued in the domestic currency of each included country. Only capital-indexed bonds, linked to an eligible inflation index, with a minimum remaining time to maturity of one year are included in the index. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes."
IE00BD9MMD49,JA13.DE,"JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Treasury Bond 1-3 yr UCITS ETF",Deutsche Börse,"NA"
IE00BDBRDM35,EUNA.DE,"iShares Core Global Aggregate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BDFB5F89,0P0001CQCY.F,"Vanguard Global Corporate Bond Index Fund Institutional Plus EUR Hedged Acc",Frankfurt Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Index."
IE00BDFC6G93,JPBM.L,"JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF",London Stock Exchange,"NA"
IE00BDFJYM28,IUAE.L,"iShares US Aggregate Bond UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays US Aggregate Bond Index."
IE00BDFJYN35,IEAH.L,"iShares Core € Corp Bond UCITS ETF",London Stock Exchange,"NA"
IE00BDFJYP58,WIAU.L,"iShares Fallen Angels High Yield Corp Bond UCITS ETF",London Stock Exchange,"NA"
IE00BDFK1573,IBTE.L,"iShares $ Treasury Bond 1-3yr UCITS ETF",London Stock Exchange,"NA"
IE00BDFK1680,WIGG.L,"iShares Fallen Angels High Yield Corporate Bond UCITS ETF GBP Hedged (Dist)",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped Index."
IE00BDFK3H31,IGLH.L,"iShares Global Govt Bond UCITS ETF",London Stock Exchange,"NA"
IE00BDQZ5152,SXRF.DE,"iShares $ Intermediate Credit Bond UCITS ETF",Deutsche Börse,"NA"
IE00BDR5HM97,XUHY.SW,"Xtrackers (IE) Plc - Xtrackers USD High Yield Corporate Bond UCITS ETF 1D",Swiss Exchange,"The investment objective of the Fund is to track the performance before fees and expenses of the Bloomberg Barclays US High Yield Very Liquid Index (the “Reference Index”). The Reference Index is a subset of the Bloomberg Barclays US Corporate High Yield Index (the “Parent Index”), and is designed to track a more liquid component of the USD-denominated, high yield, fixed rate corporate bond market."
IE00BDT6FP91,SPF1.DE,"SPDR Refinitiv Global Convertible Bond UCITS ETF",XETRA,"NA"
IE00BF11F458,SXRR.DE,"iShares $ Floating Rate Bond UCITS ETF",XETRA,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays US Floating Rate Note < 5 Years Index."
IE00BF11F565,IEAA.L,"iShares Core € Corp Bond UCITS ETF",London Stock Exchange,"The Fund seeks to track the performance of an index composed of Euro denominated investment grade corporate bonds."
IE00BF1QPH33,SPFU.DE,"SPDR Bloomberg Global Aggregate Bond USD Hdg UCITS ETF Acc",Deutsche Börse,"NA"
IE00BF1QPJ56,SPFB.DE,"SPDR Bloomberg Barclays Global Aggregate Bond UCITS ETF GBP Hedged",Deutsche Börse,"The objective of the Fund is to track the performance of global markets for investment grade (high quality) fixed-rate debt securities."
IE00BF2FN646,TRDX.DE,"Invesco US Treasury Bond 7-10 Year UCITS ETF",XETRA,"The Fund is a passively managed Exchange-Traded Fund (ETF), which aims to track the Total Return performance of the Bloomberg Barclays US Treasury 7-10 Year Index (the Index)."
